iter	MultiClass
0	1.368691422
1	5.526778239
2	7.493485943
3	7.306166303
4	6.936005814
5	6.845548889
6	6.730392892
7	6.546264201
8	6.448094599
9	6.30646759
10	6.255411263
11	6.220834183
12	5.873084968
13	5.263057684
14	5.169570495
15	4.910368347
16	4.838382418
17	4.744070895
18	4.605130418
19	4.419145807
20	4.320041739
21	4.223971058
22	3.96297974
23	3.664029194
24	3.57632278
25	3.37106135
26	3.203456793
27	3.140295627
28	3.079519991
29	3.070666028
30	2.98487083
31	2.827076102
32	2.677190992
33	2.562708771
34	2.523371004
35	2.357004086
36	2.323663745
37	2.284515453
38	2.25269362
39	2.161189057
40	2.138452349
41	2.11459748
42	2.096985405
43	2.087819817
44	2.081480435
45	2.036175639
46	2.022940137
47	1.953825546
48	1.893578596
49	1.884089192
50	1.873554663
51	1.852174893
52	1.843414172
53	1.830393596
54	1.636299466
55	1.621419306
56	1.613293516
57	1.57344345
58	1.569544033
59	1.563039891
60	1.555841718
61	1.553147875
62	1.551073717
63	1.539874014
64	1.536668271
65	1.525163498
66	1.50701677
67	1.495742492
68	1.491520783
69	1.479778499
70	1.471304775
71	1.465301511
72	1.461797932
73	1.443341667
74	1.438486391
75	1.43605393
76	1.434129245
77	1.42928134
78	1.423447891
79	1.415500975
80	1.410659094
81	1.402242649
82	1.396184578
83	1.392742634
84	1.388333499
85	1.384604984
86	1.383611873
87	1.377701605
88	1.368019069
89	1.36494589
90	1.358087983
91	1.35149112
92	1.345331331
93	1.341579616
94	1.333497028
95	1.32998576
96	1.327098011
97	1.324935487
98	1.32125347
99	1.317003056
