iter	Passed	Remaining
0	541	53592
1	1158	56785
2	1813	58641
3	2464	59152
4	3144	59736
5	3768	59042
6	4418	58696
7	5083	58460
8	5735	57995
9	6346	57122
10	6968	56380
11	7599	55726
12	8192	54828
13	8795	54028
14	9394	53236
15	10056	52798
16	10754	52509
17	11464	52228
18	12122	51682
19	12822	51291
20	13472	50682
21	14103	50002
22	14760	49416
23	15396	48755
24	16060	48182
25	16766	47718
26	17425	47113
27	18068	46462
28	18763	45939
29	19371	45200
30	20041	44607
31	20734	44060
32	21410	43468
33	22081	42864
34	22702	42161
35	23392	41586
36	24059	40966
37	24694	40291
38	25418	39757
39	26117	39175
40	26802	38569
41	27530	38017
42	28179	37353
43	28855	36725
44	29457	36003
45	30197	35449
46	30849	34787
47	31460	34082
48	32132	33444
49	32796	32796
50	33400	32090
51	34070	31449
52	34631	30711
53	35281	30054
54	35931	29398
55	36644	28791
56	37273	28118
57	37913	27454
58	38544	26785
59	39186	26124
60	39824	25461
61	40528	24839
62	41247	24224
63	42086	23673
64	42837	23066
65	43537	22428
66	44335	21836
67	45037	21194
68	45754	20556
69	46515	19935
70	47344	19337
71	48121	18713
72	48832	18061
73	49653	17445
74	50364	16788
75	51087	16132
76	51819	15478
77	52685	14859
78	53374	14188
79	54186	13546
80	54924	12883
81	55673	12221
82	56467	11565
83	57199	10895
84	58020	10238
85	58770	9567
86	59499	8890
87	60340	8228
88	61170	7560
89	61880	6875
90	62726	6203
91	63448	5517
92	64182	4830
93	64940	4145
94	65694	3457
95	66533	2772
96	67314	2081
97	68143	1390
98	68878	695
99	69687	0
